200	6
0	0	0
110	30	44
223	71	66
243	52	20
285	84	38
294	84	69
156	34	52
145	32	67
336	112	34
143	37	71
328	83	27
125	26	46
202	43	47
230	55	37
237	72	26
134	34	40
202	63	57
294	87	38
317	74	54
292	77	32
234	49	59
342	110	74
149	43	65
253	85	71
307	67	36
244	90	29
172	63	44
315	81	53
237	81	69
145	39	44
123	29	61
335	132	73
140	28	43
224	54	47
290	86	63
327	67	21
227	88	43
283	98	34
338	79	53
263	73	29
252	56	64
226	85	49
272	106	64
260	102	56
188	50	38
334	93	63
322	112	26
174	36	61
212	70	36
272	60	50
200	60	69
162	53	72
149	56	61
194	75	66
327	123	48
169	48	31
149	56	44
201	47	68
334	80	32
279	89	59
256	86	23
149	44	66
174	38	73
111	38	24
261	71	73
195	75	72
183	44	47
294	110	72
281	59	28
236	83	70
277	81	31
317	74	40
331	121	33
319	102	60
153	30	48
118	31	44
223	78	53
227	79	65
278	94	39
167	50	34
319	82	65
308	122	61
259	90	47
206	73	34
290	73	74
207	49	64
136	47	43
333	98	53
125	29	58
281	110	52
231	75	57
106	36	23
150	42	71
285	80	43
187	39	28
254	72	68
169	52	34
150	50	46
270	72	27
131	28	33
249	68	38
317	65	24
160	44	56
128	43	74
176	36	64
132	36	62
308	84	23
307	70	39
256	95	51
288	77	39
317	89	26
151	52	57
343	129	55
282	97	39
288	61	37
316	117	49
136	47	69
237	87	26
106	28	47
251	59	58
191	69	64
189	74	38
279	66	23
276	107	21
219	50	40
318	124	74
110	40	51
288	68	37
108	35	73
192	50	43
262	102	69
310	97	49
111	38	36
239	56	39
209	52	26
256	73	44
286	102	73
175	66	51
171	49	68
167	57	70
139	46	32
273	82	30
285	111	50
299	112	41
308	103	35
280	67	63
165	48	34
232	55	74
320	110	26
181	45	66
310	82	29
140	43	22
269	76	39
298	79	37
144	46	69
332	79	57
175	50	32
135	50	41
289	68	39
294	91	68
112	23	31
224	67	66
221	50	64
173	54	59
162	36	35
328	86	37
226	72	53
176	67	56
180	38	49
181	44	69
205	58	36
179	59	32
111	23	49
230	54	45
206	75	33
288	100	27
301	74	74
309	76	67
242	57	61
160	59	59
157	50	33
225	51	55
146	48	48
297	108	51
187	54	33
142	51	42
121	27	28
221	56	27
257	87	73
219	44	34
278	71	31
169	52	49
244	76	23
122	38	42
224	50	63
340	95	22
176	48	50
277	83	26
117	36	39
211	63	57
1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	
0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	
