200	6
0	0	0
302	65	57
208	71	46
205	76	22
106	39	22
333	73	67
295	60	21
326	119	30
307	88	32
295	98	31
212	76	70
139	35	68
238	90	65
330	127	64
277	71	73
243	74	39
238	76	30
162	53	65
139	54	20
150	55	52
198	40	31
147	30	62
174	67	69
126	35	51
335	96	62
262	89	28
241	76	44
290	94	26
224	56	37
247	92	58
153	46	51
134	29	40
314	117	66
319	114	32
312	106	51
139	37	53
164	36	70
166	61	20
239	56	48
164	58	68
344	132	47
127	43	27
326	118	67
109	38	68
237	83	74
200	77	45
210	50	50
233	76	58
113	41	22
116	38	23
246	79	70
108	42	62
122	42	40
341	126	25
303	99	26
110	28	26
174	67	30
271	98	43
111	26	25
254	59	58
155	45	73
162	43	37
272	87	68
180	38	57
127	49	43
178	54	47
187	45	63
148	39	31
198	77	25
163	44	62
245	83	72
259	99	35
243	74	63
257	64	38
306	107	58
296	69	62
215	68	70
164	40	40
319	108	33
230	65	49
267	104	33
145	29	67
271	97	44
158	39	33
163	42	29
144	43	37
210	65	50
257	75	46
246	82	66
165	54	20
205	81	21
148	45	22
152	59	34
225	79	73
330	122	44
331	124	22
328	111	56
160	47	64
300	61	47
303	107	32
150	31	73
169	61	73
151	36	36
232	70	41
168	35	22
274	102	69
276	87	37
316	111	57
199	66	54
273	71	56
277	105	65
309	119	47
333	89	22
292	104	59
257	88	34
325	124	49
196	75	39
121	41	58
224	64	20
281	103	30
242	87	37
299	106	39
146	56	30
319	113	35
233	64	41
316	119	26
335	120	62
122	41	23
299	109	35
129	27	36
333	74	56
296	108	68
157	56	70
269	79	65
194	50	46
245	66	22
240	52	28
205	75	42
294	73	70
217	46	41
336	84	74
169	64	69
162	54	53
301	96	54
162	51	32
111	42	22
310	93	46
288	94	71
313	66	72
264	54	66
114	43	32
147	40	31
231	60	66
279	57	67
297	114	35
243	80	37
155	59	57
316	83	34
115	30	53
194	68	48
228	47	53
190	42	73
319	77	48
275	109	63
176	55	32
246	61	31
110	25	56
142	42	42
123	35	20
241	89	63
201	54	68
156	47	66
225	88	42
330	84	22
256	68	68
120	40	59
209	78	57
309	72	37
261	74	36
343	135	27
234	72	67
155	52	28
273	60	28
314	89	56
268	63	26
219	82	32
325	82	57
306	66	26
246	53	65
321	99	70
298	108	64
333	75	20
216	76	51
320	100	29
106	25	35
247	70	55
206	71	70
146	46	33
314	115	26
334	96	50
