200	8
0	0	0
148	42	50
250	52	33
208	81	55
282	94	47
213	67	26
221	72	27
152	35	74
308	93	30
259	101	47
309	112	64
319	100	67
174	65	28
286	59	58
127	39	67
219	44	58
219	62	51
238	76	61
232	52	72
171	62	30
281	62	32
125	38	69
230	46	74
166	44	27
321	86	36
319	86	42
191	38	36
304	116	38
220	75	61
338	76	34
297	65	26
188	74	52
334	76	34
156	43	49
213	82	38
132	51	28
241	51	69
275	62	25
152	51	51
208	59	24
333	111	71
121	30	47
338	93	35
194	49	24
144	44	44
288	85	65
158	47	36
174	45	21
184	60	60
229	81	46
270	96	48
136	32	47
218	53	26
133	31	58
279	69	43
114	34	56
162	61	20
166	37	73
267	79	20
340	122	74
336	90	47
173	55	20
250	65	28
182	72	59
213	58	55
244	77	68
286	100	43
119	33	41
262	65	32
309	84	36
181	42	46
249	61	25
342	117	45
134	49	42
279	77	46
303	121	56
294	101	48
160	44	23
170	49	64
209	51	46
330	112	73
110	42	44
227	68	45
329	115	55
261	73	22
126	49	20
187	67	69
240	95	66
305	82	62
304	120	36
140	54	34
154	41	67
262	89	40
195	47	68
313	72	68
290	88	50
287	92	51
231	59	47
261	94	71
140	33	63
144	51	42
318	110	67
249	77	38
243	48	47
294	67	36
245	83	53
251	72	70
159	38	46
132	51	61
297	96	43
310	63	65
114	36	74
119	30	70
145	29	21
163	45	57
256	63	69
115	28	67
239	87	41
233	53	56
194	76	69
129	35	48
162	51	72
246	83	63
297	59	70
344	112	47
125	31	38
224	72	24
188	66	64
178	42	20
169	47	68
117	30	71
289	85	25
114	41	38
329	80	22
237	88	20
213	74	70
146	47	26
135	52	35
129	30	43
229	69	59
336	108	73
108	35	22
146	33	64
296	83	55
181	57	40
147	40	69
209	44	38
344	91	47
317	109	53
184	48	57
147	41	73
249	85	52
157	43	65
238	69	52
154	53	39
138	44	73
301	72	53
175	41	55
264	56	21
230	73	21
174	52	44
220	78	31
312	89	50
274	72	71
167	57	58
125	29	53
254	53	30
150	35	44
170	42	23
192	62	48
188	69	38
125	43	64
125	48	72
205	47	22
261	84	45
155	61	59
263	55	55
328	126	55
251	85	68
303	109	27
210	44	36
344	133	24
276	77	68
273	86	33
192	72	32
270	92	42
170	58	27
212	43	27
275	83	27
117	29	23
212	69	34
312	122	58
184	40	48
139	41	69
144	36	44
142	54	49
344	119	29
126	26	62
303	65	36
287	108	49
