200	6
0	0	0
129	45	34
232	75	40
175	51	49
206	51	20
129	49	55
319	90	44
339	81	50
149	51	33
274	80	43
250	94	47
318	114	46
270	80	72
284	94	41
288	80	73
326	95	48
129	48	23
119	38	26
121	43	60
257	69	42
143	49	23
313	81	28
138	53	22
145	33	49
213	65	41
176	42	39
210	54	50
250	87	26
230	81	24
260	69	52
197	72	74
231	63	37
174	52	32
157	53	56
280	89	52
197	48	49
173	49	48
113	35	38
279	64	25
301	94	73
193	57	28
143	35	59
160	43	57
166	48	34
221	62	37
169	35	55
254	81	68
220	50	57
119	40	63
329	122	33
240	50	23
165	55	55
319	120	28
260	97	68
255	75	52
274	70	43
321	64	31
156	57	20
268	84	45
127	30	69
319	76	70
118	44	62
271	76	39
124	27	23
110	31	73
232	81	25
172	60	74
212	69	23
217	57	69
323	76	46
247	65	51
136	33	56
131	35	46
325	109	26
286	105	20
329	85	25
159	63	36
238	78	51
112	38	29
242	69	69
169	64	50
340	107	51
170	42	73
291	74	73
146	37	68
106	25	27
150	39	24
270	62	51
320	114	21
191	53	63
291	102	20
122	41	27
159	45	56
161	34	41
312	120	24
290	86	44
143	41	21
326	118	48
238	49	22
341	91	67
136	52	71
294	108	62
285	85	67
239	58	61
285	92	30
277	95	56
269	97	41
227	69	51
250	52	35
291	69	65
245	90	20
196	40	20
108	25	74
194	64	61
179	61	42
341	108	25
158	50	46
117	34	44
269	107	41
172	35	44
139	46	67
246	56	38
151	33	70
271	78	48
340	98	65
186	52	41
139	41	46
261	86	43
146	55	71
239	92	59
208	62	21
225	62	59
297	67	47
165	56	61
323	108	34
176	35	72
250	58	45
198	65	22
161	47	25
187	37	45
338	135	33
184	46	65
209	61	70
264	104	39
338	135	41
126	35	21
238	90	74
256	93	38
211	67	37
219	52	52
240	63	21
280	67	59
114	42	33
274	95	47
151	35	33
118	45	65
269	62	58
231	86	24
122	37	57
316	110	57
153	32	62
216	46	56
253	65	40
321	104	22
257	60	55
294	100	30
311	69	32
201	43	38
108	31	28
255	51	62
301	106	39
279	107	20
267	91	38
174	63	21
121	30	74
266	67	71
195	64	30
196	73	74
325	90	38
161	48	23
175	56	45
281	62	59
287	107	20
321	101	31
199	45	56
174	44	52
241	87	51
240	93	73
124	31	69
206	65	57
337	103	46
319	83	56
220	66	56
223	45	68
213	75	40
326	123	47
240	70	55
226	79	72
220	53	58
183	55	26
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
