200	6
0	0	0
199	56	50
128	31	26
184	69	53
130	48	30
300	105	44
242	66	47
256	77	57
299	104	70
211	47	29
227	74	44
189	57	44
136	46	32
330	123	21
143	37	64
172	40	49
150	40	32
193	75	37
246	63	71
158	61	23
314	106	46
186	39	44
196	54	30
172	54	56
327	114	42
290	69	66
230	70	25
324	95	47
106	34	46
308	94	60
144	55	46
124	38	30
199	60	67
143	41	50
150	49	20
114	39	47
270	56	47
108	30	49
180	67	45
266	56	32
124	29	55
174	36	31
256	85	21
344	116	26
263	91	64
175	37	65
159	49	52
187	46	71
186	69	41
307	84	48
320	67	24
250	90	38
341	119	32
312	104	44
229	58	55
233	61	23
270	80	69
190	67	70
108	36	36
204	45	62
213	68	38
194	41	61
118	28	54
243	59	28
272	58	33
197	40	59
191	55	55
204	67	60
301	71	56
244	49	30
301	81	35
188	56	34
234	61	35
309	73	23
221	44	50
306	87	65
136	45	46
185	56	47
140	32	44
134	29	51
151	30	53
144	51	72
135	33	48
173	38	37
130	45	56
178	37	54
256	64	65
196	45	43
323	104	51
130	51	47
287	63	57
198	63	57
240	48	64
321	94	72
145	54	74
109	26	40
246	61	61
173	44	67
159	32	23
174	56	41
336	77	50
120	47	63
184	57	48
305	119	40
220	62	30
245	58	70
309	112	69
129	32	65
277	88	45
290	108	67
250	99	34
304	71	74
109	24	53
228	73	42
287	106	21
283	73	25
343	108	45
313	106	35
303	105	52
239	74	63
240	51	30
136	43	31
273	96	34
231	62	38
295	96	20
176	38	38
253	90	33
230	81	55
200	58	60
141	55	61
165	35	20
211	80	41
220	59	27
309	92	54
287	100	29
335	80	46
305	106	28
341	125	69
263	93	62
256	81	74
124	46	46
211	67	56
145	51	35
311	106	43
195	73	69
289	105	57
109	25	64
281	83	63
289	71	46
290	103	33
256	97	35
149	50	63
147	32	26
172	45	57
271	79	25
251	72	63
237	55	20
197	62	38
184	65	39
164	44	46
144	39	47
149	50	40
258	76	44
178	43	38
151	57	43
133	34	23
273	89	59
167	60	58
242	58	23
169	60	55
