200	6
0	0	0
214	46	37
270	58	43
113	23	57
319	106	24
252	96	71
264	60	71
118	43	42
226	71	50
293	59	48
289	91	73
270	54	31
264	87	73
160	44	54
247	79	58
213	62	72
217	47	63
137	39	25
339	112	72
172	35	54
188	47	59
225	66	74
327	85	35
304	96	22
312	105	53
213	69	20
316	79	30
270	89	40
163	58	42
241	54	58
253	81	66
160	42	65
276	85	42
190	65	23
185	61	41
340	103	39
185	48	53
302	67	46
143	40	20
162	38	43
143	49	62
136	50	33
122	44	70
277	69	24
135	51	47
190	49	40
206	74	41
167	35	72
138	39	73
315	95	32
329	94	72
117	35	21
325	79	52
228	47	62
146	50	25
190	41	33
251	76	51
168	64	66
143	54	57
300	115	63
126	39	73
306	72	21
320	76	71
330	95	66
208	42	20
210	68	63
131	44	23
208	44	66
113	30	49
133	34	69
236	56	50
330	90	31
128	41	65
293	106	67
343	86	55
318	68	56
307	101	24
112	32	55
199	77	36
176	45	48
224	63	36
259	72	29
170	62	55
137	33	37
237	53	68
284	102	23
196	50	42
255	81	28
313	69	22
340	91	43
195	55	64
197	42	64
209	69	73
186	60	26
211	65	61
307	62	69
318	91	74
231	51	28
217	80	55
226	73	42
280	73	36
312	73	36
190	63	39
299	70	31
256	85	29
229	81	48
226	49	45
159	50	67
334	113	23
267	60	73
117	38	72
201	42	41
113	27	33
267	58	54
139	43	50
229	75	51
188	60	59
189	68	46
279	101	61
341	123	55
249	73	29
334	106	24
252	58	65
249	97	20
209	74	37
143	46	24
144	49	57
224	72	51
223	58	25
311	73	56
124	48	23
210	55	35
332	87	48
118	25	25
222	81	55
129	40	72
129	49	46
118	25	34
240	89	60
239	58	24
308	83	54
268	78	30
125	30	34
327	83	67
278	64	69
193	73	70
157	56	60
252	67	74
161	36	41
237	88	49
319	94	41
174	58	56
204	46	65
228	89	26
344	91	53
270	57	46
299	111	69
283	100	22
204	57	32
274	106	50
313	92	35
165	37	54
190	43	26
265	85	27
198	54	42
185	70	57
143	30	71
