200	8
0	0	0
107	37	39
110	37	57
135	33	48
110	28	27
314	100	62
202	66	32
320	78	28
126	31	21
311	85	44
320	125	31
107	25	67
167	33	25
169	36	33
244	78	72
321	110	22
308	114	51
252	99	68
185	71	44
123	48	34
289	114	50
195	46	60
275	95	56
294	89	28
236	76	70
166	54	31
247	60	35
250	88	28
190	43	23
311	78	44
303	94	74
273	96	57
131	40	36
162	63	24
327	114	62
299	77	56
228	46	68
302	83	46
235	57	64
299	96	33
146	47	54
302	96	31
205	77	45
256	64	58
142	53	21
136	30	74
334	121	57
215	46	68
317	84	50
145	52	36
130	42	68
312	81	73
285	58	70
167	51	27
263	70	58
316	105	22
268	89	61
227	90	45
343	89	69
186	49	47
314	91	23
151	58	51
280	94	37
243	82	44
131	29	35
319	88	73
187	38	21
282	57	27
182	50	37
305	93	27
302	67	25
311	124	33
263	100	55
321	100	21
271	74	72
301	91	44
211	52	21
123	27	34
332	94	52
189	41	34
273	78	54
323	81	52
203	51	34
303	108	69
164	60	26
111	24	32
161	60	61
223	81	41
292	63	64
261	62	26
250	56	29
279	70	48
179	64	67
283	75	69
339	114	30
182	47	55
188	63	52
247	59	41
126	25	58
315	78	28
301	104	34
129	43	62
152	43	60
189	60	53
289	81	43
174	51	67
342	96	67
211	72	21
147	45	43
152	34	33
169	41	65
344	94	68
191	52	20
136	40	45
284	80	40
210	80	24
332	94	47
217	78	38
314	96	45
301	86	54
259	90	25
122	32	34
206	49	47
139	44	62
278	86	25
218	74	65
328	85	35
308	71	23
176	37	58
138	46	20
274	99	21
255	84	29
325	119	34
336	133	56
164	58	30
207	80	31
329	101	21
283	108	36
217	84	20
123	27	22
183	39	51
342	115	58
169	49	27
128	40	65
242	63	23
329	113	29
212	74	46
109	22	39
115	43	37
323	126	26
344	132	45
328	111	22
288	81	39
124	41	64
213	54	74
198	53	67
283	86	39
180	64	26
177	55	27
128	35	29
329	130	41
163	54	57
220	52	29
252	83	28
337	104	66
324	86	32
282	75	43
202	43	49
165	42	72
310	69	56
173	67	20
201	72	58
136	52	73
292	64	28
106	21	38
123	33	43
216	43	25
260	67	59
218	62	25
248	54	38
176	38	52
164	64	40
312	123	20
211	74	43
243	74	63
211	80	22
271	76	35
131	29	46
168	55	24
276	99	25
249	84	26
136	35	28
232	57	48
293	72	46
274	69	57
246	98	65
197	74	53
330	90	63
242	77	57
299	82	30
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
