200	4
0	0	0
196	43	57
160	37	46
186	44	73
304	62	44
132	51	68
231	71	49
183	52	55
150	54	73
183	48	41
234	71	35
210	70	73
260	96	36
339	112	29
310	118	24
122	48	39
315	125	36
330	105	34
152	43	50
301	77	23
172	37	37
273	82	61
159	57	61
132	30	40
129	35	71
179	58	65
215	54	51
256	78	40
181	72	52
131	41	37
269	74	37
153	59	71
268	107	46
225	61	68
269	76	56
106	40	32
307	99	57
236	74	74
218	52	61
311	120	68
241	63	42
193	45	70
271	100	30
266	55	73
111	43	32
130	30	45
298	91	47
142	49	65
219	45	38
342	83	44
118	30	32
163	60	28
169	40	48
144	40	67
312	70	57
132	44	50
120	42	34
267	62	43
313	123	60
160	63	49
247	85	45
142	29	21
304	105	69
145	47	32
224	49	47
195	50	68
142	42	71
109	39	43
330	80	57
291	67	45
219	79	40
148	52	67
124	30	46
330	118	28
129	41	54
308	103	69
114	24	36
286	111	44
221	69	74
339	74	31
266	74	57
261	94	33
313	110	29
175	63	50
335	103	29
307	113	58
305	61	21
123	26	46
319	111	54
248	87	23
133	51	59
264	57	45
152	46	48
243	67	65
222	86	32
134	28	73
247	58	32
243	67	64
317	71	21
209	79	64
304	82	67
217	47	51
133	41	26
341	128	54
210	79	30
243	85	51
220	78	60
263	78	40
207	71	62
211	61	35
141	31	74
151	31	34
210	48	34
192	62	34
288	101	50
258	64	58
233	72	64
314	89	73
273	108	31
115	24	24
285	82	55
170	57	35
298	80	48
332	90	66
239	61	37
284	88	53
139	35	33
216	83	20
143	45	23
325	100	52
249	93	42
131	38	27
314	84	62
153	56	22
254	76	41
285	75	47
218	79	51
181	57	30
333	102	51
314	94	36
180	59	59
182	54	73
204	51	71
228	62	56
204	72	34
144	40	26
125	29	22
132	31	25
280	111	74
208	80	41
126	49	53
335	68	43
115	30	62
111	34	33
201	55	54
142	55	22
152	45	62
238	88	28
136	30	25
253	56	20
172	47	64
133	41	73
205	56	23
183	42	34
265	85	70
203	55	66
328	88	21
179	52	48
135	37	27
111	24	53
343	84	23
324	85	30
136	43	49
283	57	21
190	40	39
182	68	42
181	40	23
277	63	24
294	65	37
181	41	57
113	31	68
163	50	65
332	109	21
270	96	29
331	113	60
253	84	62
219	75	49
234	80	46
259	96	68
214	45	21
256	90	66
168	44	70
180	43	70
116	38	67
151	57	43
166	35	34
190	47	73
131	28	48
200	56	33
259	54	71
