200	8
0	0	0
189	66	34
194	52	50
228	70	45
163	61	52
162	36	67
241	77	50
213	76	28
312	66	73
136	34	31
197	50	32
310	87	67
206	57	41
313	87	22
192	72	54
292	87	22
128	50	50
191	73	63
111	43	73
220	70	53
268	63	60
279	69	73
248	84	47
344	106	22
234	74	60
253	83	31
207	68	49
136	49	21
131	31	69
256	72	69
293	97	29
253	62	44
180	47	35
285	84	56
107	39	73
320	109	65
214	64	69
142	42	47
213	84	42
220	63	65
257	86	25
128	36	36
291	80	23
251	54	65
327	66	39
305	96	56
307	71	47
300	75	52
291	86	22
203	55	37
206	51	28
276	97	59
159	42	25
302	87	43
249	97	41
278	90	28
174	54	36
248	60	39
296	97	71
204	42	28
343	103	29
211	82	25
165	39	20
248	86	40
158	39	60
295	70	31
203	79	27
152	46	31
253	69	21
225	76	44
113	23	28
188	44	43
193	44	37
171	45	33
135	35	50
266	102	66
168	54	58
190	74	23
287	91	65
140	54	28
109	26	39
234	91	33
241	57	26
255	75	25
219	47	54
261	78	65
148	55	73
229	47	73
230	80	31
135	45	70
294	91	32
221	76	40
307	78	55
253	72	21
317	65	43
114	27	41
278	86	34
321	127	33
137	41	53
131	33	55
184	60	29
142	39	71
257	75	50
288	73	54
126	42	70
308	89	58
266	63	42
111	39	34
248	92	25
115	29	49
303	119	37
284	56	38
213	62	23
329	120	44
273	78	30
323	92	60
325	85	66
225	68	54
212	45	65
157	58	41
251	74	43
328	99	49
334	88	46
191	70	49
156	35	37
282	106	61
192	54	28
324	88	49
131	28	39
261	102	31
289	69	68
227	72	57
244	60	67
267	85	50
304	77	56
199	58	43
301	80	39
170	51	31
304	90	45
303	119	22
134	30	65
327	123	58
333	116	58
296	72	31
165	62	52
202	63	21
126	38	41
318	95	21
243	96	39
133	52	58
334	102	30
293	76	43
121	38	28
142	54	25
116	24	21
285	86	41
251	62	40
148	48	65
237	57	49
153	37	27
192	42	47
246	70	32
215	76	45
273	77	44
142	37	58
283	100	27
309	68	67
177	65	62
282	108	45
195	54	64
311	89	33
180	56	69
292	103	41
321	89	32
150	59	25
282	61	49
245	97	43
192	48	35
243	77	44
133	48	60
303	78	47
111	35	64
167	64	58
290	114	67
139	46	38
143	43	36
109	27	61
152	41	60
206	72	72
231	66	25
186	37	59
248	73	69
157	61	71
335	72	27
225	86	35
260	79	58
204	74	63
265	73	26
106	21	66
174	59	55
