200	6
0	0	0
333	131	20
257	93	43
286	83	30
340	125	25
224	78	37
146	42	41
268	65	22
296	115	70
329	80	69
222	62	35
291	93	65
223	65	20
241	49	54
303	99	33
322	89	20
185	44	67
170	60	22
334	113	56
194	52	36
284	100	66
153	52	24
209	54	51
311	81	67
264	73	70
300	69	51
242	51	49
236	51	24
305	92	29
308	90	34
336	83	58
278	106	22
247	49	38
258	85	45
263	98	53
255	90	65
144	57	65
242	56	42
252	96	52
130	26	62
126	25	52
236	90	53
172	43	37
208	58	52
109	22	69
243	87	27
147	32	27
123	46	55
288	110	20
302	63	41
106	39	70
114	42	31
332	103	40
280	60	64
233	91	54
145	33	72
142	39	30
303	109	49
130	40	25
293	103	60
128	31	60
306	67	28
132	42	40
293	74	41
116	24	49
312	98	51
199	54	50
326	68	50
184	53	22
158	47	21
239	81	45
263	59	42
144	35	58
163	48	51
134	26	74
231	78	55
175	46	20
302	113	63
227	62	32
116	42	63
330	117	36
272	95	27
272	105	21
303	64	24
214	63	62
271	59	36
178	41	45
161	50	39
292	101	20
194	69	74
332	120	28
145	51	49
145	35	36
257	71	33
276	69	37
125	43	24
319	99	28
243	62	34
208	54	63
273	68	48
207	67	59
266	60	37
123	45	58
325	128	20
126	25	65
235	93	64
173	65	29
181	38	28
323	96	36
112	38	56
325	87	37
179	52	56
171	45	72
132	33	52
207	81	23
134	51	46
224	50	56
342	102	46
178	50	66
177	42	68
187	73	66
194	72	44
189	73	35
191	62	46
278	71	73
185	72	62
247	52	41
308	96	56
167	66	40
339	125	29
325	84	48
202	78	71
238	81	61
303	115	41
303	67	68
248	56	56
244	95	51
339	75	64
196	62	68
189	52	71
200	77	24
280	111	28
228	56	66
331	131	39
302	99	54
304	98	32
314	68	21
146	57	49
175	66	60
307	99	69
270	99	74
312	89	58
185	60	32
110	41	56
203	44	45
121	29	32
322	117	73
119	43	58
181	71	38
218	46	70
188	46	68
134	36	58
196	52	25
307	86	69
168	35	37
124	44	71
117	36	25
276	60	30
236	52	55
117	34	28
143	29	42
341	133	53
332	74	21
121	33	24
308	73	61
120	45	61
302	117	41
266	71	68
194	42	47
318	86	42
169	56	25
239	78	37
284	86	25
134	39	21
122	38	44
250	61	36
144	43	68
304	65	71
138	35	38
148	47	66
173	58	56
285	79	60
201	80	65
157	37	73
148	35	40
326	79	41
243	58	24
318	77	51
243	75	49
116	37	54
